"Longitude" "Latitude" "dt" "Magnitude" "Depth" "DateTime"
-117.08 37.44 2.7646875 3.13 5.45 "01/03/2006 18:21:09"
-120.95 35.31 3.99790509259259 3.13 4.07 "01/04/2006 23:56:59"
-122.05 37.09 4.58738425925926 3.14 10.73 "01/05/2006 14:05:50"
-122.8 38.8 4.89351851851852 3.08 3.62 "01/05/2006 21:26:40"
-121.29 36.67 4.94400462962963 3.33 6.2 "01/05/2006 22:39:22"
-121.29 36.67 5.24884259259259 3.19 6.43 "01/06/2006 05:58:20"
-115.42 32.42 6.01484953703704 3.34 6 "01/07/2006 00:21:23"
-115.4 32.44 6.03423611111111 3.38 6 "01/07/2006 00:49:18"
-115.89 32.15 8.63418981481481 3.11 6.05 "01/09/2006 15:13:14"
-121.46 36.76 8.87972222222222 3.17 6.98 "01/09/2006 21:06:48"
-118.78 37.47 12.9792129629630 3.16 12.01 "01/13/2006 23:30:04"
-121.51 37.38 14.4459143518519 3.6 3.28 "01/15/2006 10:42:07"
-118.6 38.63 22.3325578703704 3.93 4.93 "01/23/2006 07:58:53"
-121.48 37.39 24.6457986111111 3.6 6.1 "01/25/2006 15:29:57"
-115.15 32.34 25.9607523148148 3.09 6 "01/26/2006 23:03:29"
-115.07 32.19 26.2241087962963 3.75 6 "01/27/2006 05:22:43"
-115.08 32.16 26.2388888888889 3.53 6 "01/27/2006 05:44:00"
-115.07 32.17 26.2426504629630 3.97 6 "01/27/2006 05:49:25"
-115.11 32.29 26.6912384259259 3.05 6 "01/27/2006 16:35:23"
-115.11 32.31 26.9569328703704 3.46 6 "01/27/2006 22:57:59"
-115.06 32.13 27.3371527777778 3.08 6 "01/28/2006 08:05:30"
-118.84 37.45 28.1593402777778 3.08 4.28 "01/29/2006 03:49:27"
-122.79 38.83 30.3869444444444 3.08 2.15 "01/31/2006 09:17:12"
-115 32.03 34.4392245370370 3.27 6 "02/04/2006 10:32:29"
-115.07 32.25 34.5267361111111 3.42 6 "02/04/2006 12:38:30"
-121.82 37.47 34.7534953703704 3.14 7.77 "02/04/2006 18:05:02"
-119.81 34.24 35.6552546296296 3.3 7.89 "02/05/2006 15:43:34"
-119.91 35.82 36.2053125 3.25 12.37 "02/06/2006 04:55:39"
-115.7 32.82 37.4249074074074 3.09 16.12 "02/07/2006 10:11:52"
-115.06 32.23 37.7666203703704 3.94 6 "02/07/2006 18:23:56"
-119.8 38.65 38.0016782407407 3.38 4.67 "02/08/2006 00:02:25"
-115.03 32.17 38.8376620370370 3.56 6 "02/08/2006 20:06:14"
-115.03 32.22 38.9199768518518 3.2 6 "02/08/2006 22:04:46"
-115.02 32.12 43.8791435185185 3.05 6 "02/13/2006 21:05:58"
-115.88 32.06 44.4446643518518 3.1 6 "02/14/2006 10:40:19"
-116.86 34.34 46.1606712962963 3.24 5.51 "02/16/2006 03:51:22"
-115.13 32.32 46.3786226851852 3.41 6 "02/16/2006 09:05:13"
-118.77 37.98 46.7416666666667 4.28 13.2 "02/16/2006 17:48:00"
-118.77 37.98 46.9252314814815 3.15 12.7 "02/16/2006 22:12:20"
-122.07 37.81 48.5265740740741 3.24 13.65 "02/18/2006 12:38:16"
-115.87 32.18 49.516712962963 3.26 6.14 "02/19/2006 12:24:04"
-115.16 32.26 53.2264930555556 3.67 6 "02/23/2006 05:26:09"
-122.8 38.83 53.6323958333333 3.22 4.77 "02/23/2006 15:10:39"
-119.06 34.42 54.8323263888889 3.16 14.89 "02/24/2006 19:58:33"
-121.17 40.23 54.9963773148148 3.17 0.02 "02/24/2006 23:54:47"
-116.18 33.79 58.2135416666667 3.15 9.7 "02/28/2006 05:07:30"
-122.21 37.86 59.8158796296296 3.36 8.48 "03/01/2006 19:34:52"
-121.15 36.56 60.008275462963 3.17 7.7 "03/02/2006 00:11:55"
-123.11 39.03 61.5346180555556 3.69 6.67 "03/03/2006 12:49:51"
-117.56 35.12 61.5722800925926 3.71 2.1 "03/03/2006 13:44:05"
-115.02 32.24 62.1365972222222 3.25 6 "03/04/2006 03:16:42"
-115.08 32.34 63.3108796296296 3.59 6 "03/05/2006 07:27:40"
-117.56 34.02 63.4466782407407 3.46 10.66 "03/05/2006 10:43:13"
-115.57 32.57 64.2879976851852 3.74 10 "03/06/2006 06:54:43"
-122.75 38.78 65.0794675925926 3.14 0.26 "03/07/2006 01:54:26"
-119.39 33.79 65.3697916666667 3.13 6 "03/07/2006 08:52:30"
-115.22 32.26 66.0580671296296 3.39 6 "03/08/2006 01:23:37"
-118.36 38.46 68.3285763888889 3.65 11.48 "03/10/2006 07:53:09"
-118.66 38.02 69.1776851851852 3.13 6.31 "03/11/2006 04:15:52"
-116.83 34.29 69.322962962963 3.53 5.19 "03/11/2006 07:45:04"
-118.72 38.71 69.6458333333333 3.34 14.69 "03/11/2006 15:30:00"
-118.26 32.83 70.2685416666667 3.21 6 "03/12/2006 06:26:42"
-119.4 33.8 71.4117361111111 3.11 10.3 "03/13/2006 09:52:54"
-119.4 33.82 72.0706712962963 3.23 6 "03/14/2006 01:41:46"
-117.64 35.93 72.6187268518518 3.15 2.96 "03/14/2006 14:50:58"
-116.22 32.87 78.719675925926 3.65 12.37 "03/20/2006 17:16:20"
-117.53 35.57 78.7828935185185 3.43 9.49 "03/20/2006 18:47:22"
-122.07 37.81 79.9039583333333 3.7 12.94 "03/21/2006 21:41:42"
-122.72 38.76 79.9214351851852 3.06 2.46 "03/21/2006 22:06:52"
-119.98 39.35 81.009675925926 3.21 5.97 "03/23/2006 00:13:56"
-122.74 38.77 81.428738425926 3.07 2.39 "03/23/2006 10:17:23"
-116.26 34.58 81.9923263888889 3.11 2.79 "03/23/2006 23:48:57"
-116.18 33.79 82.2459837962963 3.66 9.46 "03/24/2006 05:54:13"
-121.08 35.65 83.1813657407407 3.19 9.34 "03/25/2006 04:21:10"
-124.45 40.28 84.0809953703704 4.6 23.06 "03/26/2006 01:56:38"
-117.59 35.62 87.0669328703704 4.11 8.77 "03/29/2006 01:36:23"
-121.09 36.52 90.5180555555555 4.34 1.88 "04/01/2006 12:26:00"
-122.78 38.79 90.9022453703704 3.18 2.73 "04/01/2006 21:39:14"
-115.07 32.07 91.1008217592593 3.4 6 "04/02/2006 03:25:11"
-119.88 35.96 91.3034375 3.08 22.02 "04/02/2006 08:16:57"
-122.81 38.82 94.0156018518519 3.22 3.09 "04/05/2006 01:22:28"
-119.01 39.08 94.460613425926 3.39 4.87 "04/05/2006 12:03:17"
-121.09 35.73 94.5672800925926 3.63 7.22 "04/05/2006 14:36:53"
-121.09 35.73 96.0048032407407 4.2 7.24 "04/07/2006 01:06:55"
-122.75 38.78 96.3526736111111 3.05 2.11 "04/07/2006 09:27:51"
-123.35 39.56 96.3781018518519 3.5 9.98 "04/07/2006 10:04:28"
-121.1 35.73 96.4954398148148 3.67 7.23 "04/07/2006 12:53:26"
-121.1 35.73 97.3408333333333 3.44 7.35 "04/08/2006 09:10:48"
-118.7 38.33 99.982800925926 3.19 11.1 "04/11/2006 00:35:14"
-123.56 40.91 102.695023148148 3.24 22.57 "04/13/2006 17:40:50"
-115.82 32.63 102.754490740741 3.6 14.75 "04/13/2006 19:06:28"
-124.89 40.35 105.892858796296 3.82 14.78 "04/16/2006 22:25:43"
-116.06 36.71 106.801979166667 3.29 5.64 "04/17/2006 20:14:51"
-121.42 36.8 112.803564814815 3.22 10.49 "04/23/2006 20:17:08"
-123.14 38.95 119.722361111111 3.28 5.42 "04/30/2006 18:20:12"
-122.73 39.56 121.4196875 3.14 0.02 "05/02/2006 11:04:21"
-116.59 33.52 122.640844907407 3.1 12.08 "05/03/2006 16:22:49"
-121.23 35.75 123.697997685185 3.39 5.39 "05/04/2006 17:45:07"
-118.76 38.23 124.233553240741 4.29 14.02 "05/05/2006 06:36:19"
-115.04 32.19 124.619571759259 3.08 6 "05/05/2006 15:52:11"
-115.08 32.21 124.620659722222 3.9 7 "05/05/2006 15:53:45"
-118.75 38.22 126.541469907407 3.58 13.64 "05/07/2006 13:59:43"
-117.34 32.63 127.967789351852 3.63 9.36 "05/09/2006 00:13:37"
-117.32 32.63 127.979548611111 3.17 14.02 "05/09/2006 00:30:33"
-122.82 38.81 130.811701388889 3.24 0.04 "05/11/2006 20:28:51"
-121.54 36.82 131.316018518519 3.18 5.09 "05/12/2006 08:35:04"
-122.82 38.82 131.401030092593 4.39 2.89 "05/12/2006 10:37:29"
-122.85 38.84 131.401805555556 4.15 2.64 "05/12/2006 10:38:36"
-115.37 32.4 133.017581018519 3.21 6 "05/14/2006 01:25:19"
-121.52 35.69 133.685277777778 3.53 8.56 "05/14/2006 17:26:48"
-117.03 34.04 137.383240740741 3.24 12.2 "05/18/2006 10:11:52"
-115.28 32.41 143.138275462963 3.91 6 "05/24/2006 04:19:07"
-115.23 32.31 143.139189814815 5.37 6 "05/24/2006 04:20:26"
-115.2 32.42 143.142534722222 3.9 6 "05/24/2006 04:25:15"
-115.25 32.29 143.159710648148 3.38 6 "05/24/2006 04:49:59"
-115.25 32.36 143.374178240741 3.2 6 "05/24/2006 09:58:49"
-122.08 37.81 144.193263888889 3.22 13.45 "05/25/2006 05:38:18"
-120.16 39.4 146.096851851852 3.15 4.18 "05/27/2006 03:19:28"
-115.24 32.32 146.355104166667 3.15 6 "05/27/2006 09:31:21"
-115.2 32.28 146.389988425926 4.3 10 "05/27/2006 10:21:35"
-115.23 32.32 146.669432870370 3.2 6 "05/27/2006 17:03:59"
-115.14 32.24 147.277974537037 4.25 6 "05/28/2006 07:40:17"
-115.16 32.31 147.282361111111 3.2 6 "05/28/2006 07:46:36"
-115.22 32.35 147.455127314815 4.49 6 "05/28/2006 11:55:23"
-115.19 32.3 147.460879629630 3.53 6 "05/28/2006 12:03:40"
-115.2 32.3 147.462916666667 3.5 6 "05/28/2006 12:06:36"
-120.46 39.37 148.401898148148 3.81 9.55 "05/29/2006 10:38:44"
-116.3 32.1 151.779363425926 3.09 0.18 "06/01/2006 19:42:17"
-115.86 32.68 151.997395833333 3.86 6 "06/02/2006 00:56:15"
-123.08 39.04 157.042962962963 3.27 1.79 "06/07/2006 02:01:52"
-116.79 33.92 158.906886574074 3.87 18.71 "06/08/2006 22:45:55"
-124.55 40.73 158.918252314815 3.21 15.06 "06/08/2006 23:02:17"
-118.84 37.46 161.840219907407 3.48 7.66 "06/11/2006 21:09:55"
-116.27 31.8 163.6040625 3.8 7 "06/13/2006 15:29:51"
-116.27 31.8 163.604409722222 4.6 5 "06/13/2006 15:30:21"
-120.49 35.94 164.494618055556 3.27 11.33 "06/14/2006 12:52:15"
-121.49 37.1 165.475590277778 4.3 3.27 "06/15/2006 12:24:51"
-122.78 38.79 169.205034722222 3.15 4.55 "06/19/2006 05:55:15"
-121.25 36.63 171.176307870370 3.09 10.7 "06/21/2006 05:13:53"
-124.67 40.34 171.932881944444 3.36 16.6 "06/21/2006 23:23:21"
-118.32 38.25 173.376157407407 3.11 11.59 "06/23/2006 10:01:40"
-120.6 39.55 174.003692129630 3.22 13.95 "06/24/2006 01:05:19"
-120.19 36.07 177.859861111111 3.19 16.95 "06/27/2006 21:38:12"
-124.99 40.38 179.682048611111 3.07 0.63 "06/29/2006 17:22:09"
-116.04 33.24 179.977858796296 4.37 3.58 "06/30/2006 00:28:07"
-116.03 33.24 179.979178240741 3.07 4.22 "06/30/2006 00:30:01"
-116.03 33.25 180.597835648148 3.43 3.69 "06/30/2006 15:20:53"
-122.8 38.83 181.444664351852 3.05 2.28 "07/01/2006 11:40:19"
-123.12 39.45 183.489479166667 3.36 9.25 "07/03/2006 12:44:51"
-120.44 35.9 186.212824074074 3.27 6.52 "07/06/2006 06:06:28"
-123.46 38.5 186.821805555556 3.7 0.02 "07/06/2006 20:43:24"
-124.28 40.88 189.465763888889 3.09 19.85 "07/09/2006 12:10:42"
-117.11 33.86 190.079675925926 3.9 11.53 "07/10/2006 02:54:44"
-117.9 36.07 192.889467592593 4.02 4.45 "07/12/2006 22:20:50"
-117.9 36.08 192.890810185185 3.69 3.53 "07/12/2006 22:22:46"
-120.48 35.93 194.003900462963 3.16 10.15 "07/14/2006 01:05:37"
-115.13 32.41 194.326770833333 3.43 6 "07/14/2006 08:50:33"
-115.14 32.41 196.567789351852 3.39 6 "07/16/2006 14:37:37"
-121.63 37.24 198.744675925926 3.08 5.06 "07/18/2006 18:52:20"
-124.43 40.28 199.445636574074 5 20.69 "07/19/2006 11:41:43"
-116.43 35.52 199.516203703704 3.49 6 "07/19/2006 13:23:20"
-115.87 32.19 200.243275462963 3.41 6 "07/20/2006 06:50:19"
-124.39 40.27 200.312476851852 3.44 22.28 "07/20/2006 08:29:58"
-117.48 33.73 203.624212962963 3.69 10.85 "07/23/2006 15:58:52"
-116.8 33.69 210.522835648148 3.16 15.34 "07/30/2006 13:32:53"
-118.48 37.43 213.432928240741 3.12 15.29 "08/02/2006 11:23:25"
-117.32 34.11 213.627106481481 3.31 16.01 "08/02/2006 16:03:02"
-122.59 38.36 214.089039351852 4.5 8.86 "08/03/2006 03:08:13"
-116.04 33.24 218.001180555556 3.68 9.15 "08/07/2006 01:01:42"
-124.98 40.35 225.735057870370 3.14 0.8 "08/14/2006 18:38:29"
-116.67 32.16 231.8225 3.13 6 "08/20/2006 20:44:24"
-117.6 37.26 231.964756944444 3.41 7.89 "08/21/2006 00:09:15"
-117.91 36.13 235.288275462963 3.33 2 "08/24/2006 07:55:07"
-116.27 33.98 235.744085648148 3.23 5.23 "08/24/2006 18:51:29"
-123.36 39.73 237.075949074074 3.27 4.01 "08/26/2006 02:49:22"
-120.78 35.47 237.323379629630 3.09 3.66 "08/26/2006 08:45:40"
-123.4 39.6 237.4634375 3.4 6.21 "08/26/2006 12:07:21"
-116.91 34.29 237.847175925926 3.48 6.24 "08/26/2006 21:19:56"
-115.61 33.19 239.392951388889 3.16 1.87 "08/28/2006 10:25:51"
-121.1 35.73 241.585046296296 3.42 7.64 "08/30/2006 15:02:28"
-116.37 33.95 244.645625 3.62 8.85 "09/02/2006 16:29:42"
-116.04 33.18 248.887523148148 3.66 12.91 "09/06/2006 22:18:02"
-118.28 37.31 249.027083333333 3.4 8.13 "09/07/2006 01:39:00"
-117.08 33.98 249.572777777778 3.12 14.78 "09/07/2006 14:44:48"
-115.81 32.04 254.306423611111 3.1 6 "09/12/2006 08:21:15"
-122.74 38.8 254.557094907407 3.12 2.53 "09/12/2006 14:22:13"
-116.05 32.7 255.966041666667 4.05 10.21 "09/14/2006 00:11:06"
-116.06 32.7 256.017534722222 3.64 9.66 "09/14/2006 01:25:15"
-121 36.45 257.669965277778 3.09 8.45 "09/15/2006 17:04:45"
-121.01 36.44 258.743715277778 3.19 7.03 "09/16/2006 18:50:57"
-116.54 34.58 260.642708333333 3.08 4.84 "09/18/2006 16:25:30"
-124.52 40.31 261.372905092593 3.12 21.83 "09/19/2006 09:56:59"
-123.22 39.31 268.830706018519 3.9 12.48 "09/26/2006 20:56:13"
-118.84 37.45 271.8709375 3.8 8.92 "09/29/2006 21:54:09"
-116.46 34.35 274.614409722222 3.07 4.44 "10/02/2006 15:44:45"
-116.6 33.44 277.787615740741 3.18 11.1 "10/05/2006 19:54:10"
-115.88 32.9 281.014490740741 3.15 15.6 "10/09/2006 01:20:52"
-116.07 33.26 281.8103125 4.01 9.07 "10/09/2006 20:26:51"
-117.68 35.94 283.413472222222 3.2 2.96 "10/11/2006 10:55:24"
-115.16 32.34 284.903668981481 3.4 15 "10/12/2006 22:41:17"
-122.79 38.81 286.709652777778 3.18 3.55 "10/14/2006 18:01:54"
-115.12 32.34 289.605949074074 3.25 6 "10/17/2006 15:32:34"
-115.89 32.17 290.381076388889 3.3 7.34 "10/18/2006 10:08:45"
-124.32 40.28 291.597280092593 3.65 16.7 "10/19/2006 15:20:05"
-122.79 38.87 292.666759259259 4.5 3.46 "10/20/2006 17:00:08"
-122.78 38.87 292.938657407407 3.9 2.82 "10/20/2006 23:31:40"
-115.83 32.12 294.490011574074 3.1 6 "10/22/2006 12:45:37"
-124.94 40.39 294.517592592593 3.13 0.41 "10/22/2006 13:25:20"
-125.07 40.39 296.560208333333 4.3 0.08 "10/24/2006 14:26:42"
-124.06 40.52 302.413680555556 3.06 17.92 "10/30/2006 09:55:42"
-124.06 40.53 302.414560185185 3.09 18.66 "10/30/2006 09:56:58"
-124.06 40.53 302.474930555556 3.24 18.89 "10/30/2006 11:23:54"
-122.76 38.79 303.155092592593 3.31 2.21 "10/31/2006 03:43:20"
-120.41 35.86 303.851469907407 3.63 9.31 "10/31/2006 20:26:07"
-124.06 40.53 304.352407407407 3.34 19.24 "11/01/2006 08:27:28"
-124.42 40.31 305.400162037037 3.33 8.63 "11/02/2006 09:36:14"
-116.05 32.68 306.664386574074 4.62 13.67 "11/03/2006 15:56:43"
-116.06 32.7 306.675150462963 3.65 9.17 "11/03/2006 16:12:13"
-116.06 32.7 306.846736111111 3.34 7.14 "11/03/2006 20:19:18"
-117.58 34.21 307.822048611111 3.6 4.92 "11/04/2006 19:43:45"
-124.57 40.33 309.022731481481 3.1 29.99 "11/06/2006 00:32:44"
-123.28 39.36 312.359872685185 4.1 4.88 "11/09/2006 08:38:13"
-116.05 32.72 312.526041666667 3.07 4.27 "11/09/2006 12:37:30"
-123.28 39.36 313.212453703704 3.7 3.41 "11/10/2006 05:05:56"
-124.58 40.71 316.987546296296 3.39 12.59 "11/13/2006 23:42:04"
-116.04 32.69 317.5640625 3.94 8.2 "11/14/2006 13:32:15"
-124.6 40.29 317.732847222222 3.1 20.86 "11/14/2006 17:35:18"
-116.05 32.7 319.229733796296 3.17 7.68 "11/16/2006 05:30:49"
-122.07 40.15 320.565011574074 3.5 28.4 "11/17/2006 13:33:37"
-122.71 38.75 327.672314814815 3.12 2.72 "11/24/2006 16:08:08"
-116.12 34.37 328.319259259259 3.48 6.03 "11/25/2006 07:39:44"
-122.78 38.79 329.642060185185 3.45 1.73 "11/26/2006 15:24:34"
-118.84 37.45 329.924872685185 3.8 8.57 "11/26/2006 22:11:49"
-125.36 40.65 330.034097222222 3.06 19.16 "11/27/2006 00:49:06"
-117.44 32.48 330.099340277778 3.06 10 "11/27/2006 02:23:03"
-117.71 36.06 330.884918981481 3.88 0.98 "11/27/2006 21:14:17"
-117.71 36.06 330.889618055556 3.48 0.41 "11/27/2006 21:21:03"
-120.75 35.63 331.171296296296 3.8 6.87 "11/28/2006 04:06:40"
-117.72 36.06 331.191261574074 3.17 1.89 "11/28/2006 04:35:25"
-122.26 38.65 332.139143518518 3.23 0.07 "11/29/2006 03:20:22"
-122.27 38.66 332.216782407407 3.16 0.05 "11/29/2006 05:12:10"
-115.97 32.82 332.512222222222 3.9 3.32 "11/29/2006 12:17:36"
-118.22 37.49 332.551956018519 3.08 1.32 "11/29/2006 13:14:49"
-115.97 32.82 332.882581018519 4.11 3.86 "11/29/2006 21:10:55"
-115.98 32.83 332.883935185185 3.75 2.43 "11/29/2006 21:12:52"
-121.45 36.85 332.889432870370 3.7 3.18 "11/29/2006 21:20:47"
-115.97 32.82 332.893263888889 3.12 2.07 "11/29/2006 21:26:18"
-115.98 32.82 332.927534722222 3.87 1.45 "11/29/2006 22:15:39"
-116.91 36.4 333.842326388889 3.26 12.83 "11/30/2006 20:12:57"
-115.98 32.82 338.81974537037 3.06 1.24 "12/05/2006 19:40:26"
-117.72 36.06 340.825925925926 3.24 0.37 "12/07/2006 19:49:20"
-116.27 31.79 341.948738425926 4.3 5 "12/08/2006 22:46:11"
-124.58 40.5 342.097314814815 3.38 26.35 "12/09/2006 02:20:08"
-124.64 40.37 343.750381944444 3.45 17.19 "12/10/2006 18:00:33"
-118.39 38.19 343.961550925926 3.72 9.05 "12/10/2006 23:04:38"
-116.25 31.79 344.556342592593 4.2 5.5 "12/11/2006 13:21:08"
-124.4 40.37 345.112986111111 3.42 21.42 "12/12/2006 02:42:42"
-120.29 36.17 348.806898148148 3.88 9.98 "12/15/2006 19:21:56"
-117.5 36.83 349.179421296296 3.43 7.04 "12/16/2006 04:18:22"
-120.29 36.17 349.259780092593 4.2 9.91 "12/16/2006 06:14:05"
-125.07 40.42 350.634490740741 4.3 0.31 "12/17/2006 15:13:40"
-118.69 33.17 351.459560185185 3.24 0 "12/18/2006 11:01:46"
-124.43 40.35 352.275324074074 3.3 18.63 "12/19/2006 06:36:28"
-116.75 34.34 352.302673611111 3.06 2.58 "12/19/2006 07:15:51"
-118.19 37.49 352.637974537037 3.22 8.15 "12/19/2006 15:18:41"
-118.19 37.5 352.640069444444 3.7 5.88 "12/19/2006 15:21:42"
-122.24 37.86 354.133668981481 3.6 8.84 "12/21/2006 03:12:29"
-122.25 37.86 356.2846875 3.6 9.35 "12/23/2006 06:49:57"
-122.25 37.86 356.723090277778 3.4 9.49 "12/23/2006 17:21:15"
-116.05 33.71 357.1553125 4.11 12.9 "12/24/2006 03:43:39"
-116.08 33.76 360.900231481481 3.19 5.13 "12/27/2006 21:36:20"
-122.79 38.81 363.693877314815 3.43 5.05 "12/30/2006 16:39:11"
-118.33 36.3 364.035324074074 3.32 1.21 "12/31/2006 00:50:52"
-120.49 35.94 366.075185185185 3.09 10.5 "01/02/2007 01:48:16"
-115.35 32.12 368.784988425926 3.06 6 "01/04/2007 18:50:23"
-122.8 38.83 368.994328703704 3.16 3.79 "01/04/2007 23:51:50"
-122.62 38.39 371.389340277778 3.14 9.26 "01/07/2007 09:20:39"
-115.63 32.66 371.625543981481 3.15 14.95 "01/07/2007 15:00:47"
-116.05 32.68 373.584675925926 3.12 8.96 "01/09/2007 14:01:56"
-121.43 36.92 373.940081018519 3.1 8.8 "01/09/2007 22:33:43"
-122.62 38.39 376.477662037037 3.7 9.95 "01/12/2007 11:27:50"
-116.05 33.71 379.291701388889 3.09 13.72 "01/15/2007 07:00:03"
-122.7 38.77 379.765474537037 3.1 3.28 "01/15/2007 18:22:17"
-118.53 37.41 381.584120370370 4.05 7.19 "01/17/2007 14:01:08"
-116.32 32.98 381.672083333333 3.81 4.13 "01/17/2007 16:07:48"
-121.52 37.12 381.738449074074 3.45 7.82 "01/17/2007 17:43:22"
-116.31 32.98 382.836342592593 3.12 4.91 "01/18/2007 20:04:20"
-116.31 32.99 383.803576388889 3.25 4.19 "01/19/2007 19:17:09"
-117.1 37.41 388.479351851852 4.09 6.1 "01/24/2007 11:30:16"
-117.09 37.42 388.504097222222 3.24 5.78 "01/24/2007 12:05:54"
-124.59 40.31 388.571446759259 4.4 19.81 "01/24/2007 13:42:53"
-125.27 40.45 393.294907407407 3.35 1.33 "01/29/2007 07:04:40"
-115.22 32.36 394.675625 3.87 6 "01/30/2007 16:12:54"
-117.52 34.21 394.9975 3.35 5.92 "01/30/2007 23:56:24"
-121.45 36.99 398.545439814815 3.22 8.78 "02/03/2007 13:05:26"
-115.13 32.15 400.825555555556 3.07 6 "02/05/2007 19:48:48"
-116.06 32.7 403.133391203704 3.41 8.56 "02/08/2007 03:12:05"
-116.15 33.21 404.148425925926 4.29 12 "02/09/2007 03:33:44"
-123.36 39.73 406.70537037037 3.1 0.1 "02/11/2007 16:55:44"
-115.56 32.56 409.368912037037 3.75 6 "02/14/2007 08:51:14"
-124.57 40.96 414.27974537037 3.26 15.27 "02/19/2007 06:42:50"
-121.38 35.78 415.698761574074 3.8 7.13 "02/20/2007 16:46:13"
-117.67 32.84 415.736284722222 3.16 6 "02/20/2007 17:40:15"
-121.96 37.18 416.931898148148 3.05 5.88 "02/21/2007 22:21:56"
-122.74 38.84 417.350590277778 3.16 1.54 "02/22/2007 08:24:51"
-122.24 37.86 418.990451388889 3.41 11.08 "02/23/2007 23:46:15"
-119.87 37.07 419.708854166667 3.08 13.19 "02/24/2007 17:00:45"
-123.27 39.35 419.777407407407 3.09 0 "02/24/2007 18:39:28"
-116.01 32.65 420.499780092593 3.16 0.91 "02/25/2007 11:59:41"
-121.08 37.31 420.710034722222 3.5 6.64 "02/25/2007 17:02:27"
-124.87 40.64 421.513819444444 5.4 0.01 "02/26/2007 12:19:54"
-122.79 38.81 423.449768518519 3.27 2.25 "02/28/2007 10:47:40"
-116.02 33.22 424.609548611111 3.41 2.51 "03/01/2007 14:37:45"
-122.11 37.9 425.194456018519 4.2 16.22 "03/02/2007 04:40:01"
-122.72 38.78 425.394803240741 3.05 3.54 "03/02/2007 09:28:31"
-118.66 37.97 429.008530092593 3.46 9.36 "03/06/2007 00:12:17"
-121.15 36.56 431.241226851852 3.22 4.03 "03/08/2007 05:47:22"
-119.37 38.43 432.137175925926 4.9 10.08 "03/09/2007 03:17:32"
-119.38 38.41 432.13900462963 3.72 8.82 "03/09/2007 03:20:10"
-123.42 39.61 437.84662037037 3.05 8.31 "03/14/2007 21:19:08"
-122.09 39.74 439.266666666667 3.1 22.67 "03/16/2007 07:24:00"
-120.81 35.52 439.27087962963 3.06 7.21 "03/16/2007 07:30:04"
-120.33 35.78 442.913831018519 3.11 8.94 "03/19/2007 22:55:55"
-121.25 36.64 448.220497685185 3.14 6.56 "03/25/2007 06:17:31"
-115.15 32.4 448.70255787037 3.62 15 "03/25/2007 17:51:41"
-117.7 35.83 450.403298611111 3.23 8.6 "03/27/2007 10:40:45"
-118.31 35.08 450.633912037037 3.19 2.94 "03/27/2007 16:12:50"
-117.78 36.03 453.34 4.11 0.35 "03/30/2007 09:09:36"
-118.38 37.37 456.002951388889 3.94 13.98 "04/02/2007 01:04:15"
-115.88 32.18 456.121701388889 3.54 6 "04/02/2007 03:55:15"
-120.81 36.25 457.1725 3.3 6.82 "04/03/2007 05:08:24"
-117.95 34.18 458.435451388889 3.49 12.49 "04/04/2007 11:27:03"
-120.84 35.6 458.817581018519 3.29 7.29 "04/04/2007 20:37:19"
-124.58 40.31 459.912847222222 4.1 18.68 "04/05/2007 22:54:30"
-124.19 40.71 460.767893518519 3.3 17.13 "04/06/2007 19:25:46"
-124.77 40.6 461.954907407407 4.2 21.07 "04/07/2007 23:55:04"
-118.95 34.07 464.519027777778 3.48 15.36 "04/10/2007 13:27:24"
-118.84 37.48 465.956203703704 3.15 4 "04/11/2007 23:56:56"
-121.34 36.74 466.636840277778 3.07 8.29 "04/12/2007 16:17:03"
-121.88 40.65 467.966180555556 3.07 16.51 "04/14/2007 00:11:18"
-118.84 37.48 468.18 3.16 4.32 "04/14/2007 05:19:12"
-116.06 32.69 469.914895833333 4.41 8.01 "04/15/2007 22:57:27"
-117.47 34.13 472.07431712963 3.07 5.74 "04/18/2007 02:47:01"
-123.11 39.46 472.321087962963 4.82 5.97 "04/18/2007 08:42:22"
-121.51 34.66 472.428449074074 4 5 "04/18/2007 11:16:58"
-116.59 33.45 472.891111111111 3.56 11.34 "04/18/2007 22:23:12"
-123.11 39.44 473.119953703704 3.15 4.85 "04/19/2007 03:52:44"
-119.53 38.65 474.10099537037 3.67 9.19 "04/20/2007 03:25:26"
-116.06 32.68 475.377997685185 3.18 10.51 "04/21/2007 10:04:19"
-119.93 34.22 477.131226851852 3.19 6 "04/23/2007 04:08:58"
-118.47 34.29 477.771400462963 3.16 12.93 "04/23/2007 19:30:49"
-115.1 32.37 478.520902777778 3.08 6 "04/24/2007 13:30:06"
-122.8 38.79 478.839224537037 4.38 2.48 "04/24/2007 21:08:29"
-117.92 36.14 479.539490740741 3.05 2.74 "04/25/2007 13:56:52"
-115.44 32.77 479.63943287037 3.17 15.88 "04/25/2007 16:20:47"
-115.89 32.18 480.449270833333 3.11 7.4 "04/26/2007 11:46:57"
-117.32 34.11 482.295104166667 3.35 14.16 "04/28/2007 08:04:57"
-116.5 33.07 482.580069444444 3.56 11.75 "04/28/2007 14:55:18"
-116.06 32.68 483.264027777778 3.21 12.82 "04/29/2007 07:20:12"
-122.73 38.8 483.504537037037 3.27 8.61 "04/29/2007 13:06:32"
